augmenter_name,model_name,mse_mean,mse_std,mae_mean,mae_std,corr_mean,corr_std,mse_r1_mean,mse_r1_std,mse_r2_mean,mse_r2_std,corr_r1_mean,corr_r2_mean,mse_train_mean,mse_train_std,mse_train_r1_mean,mse_train_r2_mean,corr_train_mean,n_trainable_params,n_random_params,effective_rank,nonlinearity_score,feature_target_alignment,coef_l2_norm,n_features,n_augmented,circuit_depth,qubit_count,wall_clock_mean,n_seeds
rff_50,ridge,1.6007548,0.250514615646872,0.9740522,0.08531103089694794,0.977023,0.003800325972860758,1.4147294000000001,0.3410498604614874,2.1546236,0.08341567733525884,0.8733552,0.9692792000000001,1.527482,0.277842655127862,1.3975436,1.9318962,0.977813,0,200,27.295460000000002,0.5887598,0.2992296,53.185543200000005,54,50,,,0.03454,5
rff_6,ridge,2.4830136,0.02895895580472473,1.2161313999999999,0.01958376578444502,0.9641404,0.0007116967753193871,2.1743832000000003,0.11549103917707185,3.4010165999999997,0.26385075602563646,0.798803,0.9566822,2.4680008,0.071550647905522,2.1658283999999997,3.3988694,0.963865,0,24,5.59166,0.7154170000000001,0.2914052,7.4693996,10,6,,,0.02278,5
rff_96,ridge,1.4529716000000001,0.2562085603435217,0.9278206000000001,0.07776604541379224,0.979156,0.0038759279534067697,1.2633292,0.283690563427302,2.019488,0.28434598574799685,0.8879338000000001,0.971288,1.3367578,0.24729800594161694,1.2464866000000001,1.6182134000000001,0.980609,0,384,39.59692,0.6203434,0.2761404,64.9808434,100,96,,,0.05534,5
unified_IQP_all_cnot,ridge,3.9978378,0.049053431309134934,1.4989864000000002,0.008895989534616174,0.9415825999999999,0.0006430954828017631,2.501478,0.048358262732443105,8.4563714,0.2590263826066762,0.7846864,0.9178374,4.0041684,0.055149616633300515,2.4886603999999997,8.6710226,0.9406694,0,0,2.45432,0.7899993999999999,0.4231234,4.6776964,8,4,12.0,4.0,0.02294,5
unified_RZ_all_noc_prob_rot_3L,ridge,1.7659420000000001,0.11760316594803047,1.0229386,0.03486615986597889,0.9746304,0.001956031645960786,1.4962008,0.1573229677787067,2.5704766,0.18470956375022918,0.8662796,0.9636056,1.7404478,0.13679160848239194,1.5007778,2.4802854,0.9746622,0,48,5.43834,0.6566182,0.20081699999999997,384.4421272,20,16,7.0,4.0,0.029000000000000005,5
unified_RZ_all_noc_rot_2L_2ens,ridge,1.8972224,0.12216344664956041,1.085487,0.03315901133930264,0.9727162,0.0020700905052678073,1.8732627999999998,0.18016125129227978,1.9674244,0.08444729977802726,0.8282048,0.9719008,1.8851082,0.11290140187216463,1.8672834000000003,1.9423274,0.9725184,0,72,5.2988,0.6234496,0.3712626,18.6322872,12,8,6.0,4.0,0.02522,5
unified_RZ_all_noc_rot_2ens,ridge,1.8969224,0.12172812615948715,1.0855962,0.03330920270285679,0.9727195999999999,0.0020647631341149,1.8734296000000001,0.18095214291436282,1.9657356,0.0836079905678877,0.8281856,0.9719206,1.8851198,0.11287724529638375,1.8673766,1.9421588,0.9725182,0,48,5.59942,0.5363116,0.41731280000000004,9.9235788,12,8,5.0,4.0,0.0219,5
unified_RZ_circular_noc_Z+ZZ_rot_3L,ridge,1.8128218,0.14856784558813524,1.0295692,0.03944809471571468,0.9739405999999999,0.0024271236680482766,1.5037327999999999,0.17327040604990807,2.7344326,0.1807484678255946,0.8652098,0.9609909999999999,1.8104994,0.15269647254046192,1.5099098,2.7373218,0.9736294000000001,0,48,5.0043999999999995,0.6192252,0.3279008,76.00996119999999,14,10,7.0,4.0,0.021179999999999997,5
unified_RZ_linear_noc_Z+ZZ_rot_2L_2ens,ridge,1.4644650000000001,0.17154910586184935,0.9307688000000001,0.04178052901412333,0.9790022,0.0026349927324377776,1.2462004,0.13963295178001503,2.1156372,0.2790664927014707,0.889549,0.9698334,1.4551412,0.1839492566543828,1.2465928,2.0952452,0.9788662,0,72,9.29716,0.6132244,0.3858476,93.32423920000001,24,20,6.0,4.0,0.0261,5
unified_RZ_linear_noc_Z+ZZ_rot_2ens,ridge,1.5089648,0.18657569530407755,0.9521554,0.0602468319606932,0.9783566,0.00287681330642083,1.3501546000000002,0.23358674411083355,1.9826884,0.15070482063059568,0.8795780000000001,0.9716904,1.509524,0.21484441253497846,1.3541436,1.9895738,0.9780708,0,48,9.84216,0.5191652,0.427831,36.633613600000004,24,20,5.0,4.0,0.02382,5
unified_RZ_linear_noc_prob_rot_2L_3ens,ridge,1.3819338,0.12681974929481604,0.9116875999999999,0.03036788374747244,0.980207,0.0019849871536108017,1.1980401999999999,0.09192995551886234,1.9305797999999998,0.23750201735711637,0.8940322,0.9724952,1.3312936,0.12384954500239398,1.1938528,1.7539348000000001,0.9806786000000001,0,108,12.227599999999999,0.5367968000000001,0.40756139999999996,326.2669618,52,48,6.0,4.0,0.03376,5
unified_RZ_linear_noc_rot_3L,ridge,2.1706708,0.05714081897120468,1.1525298,0.020236992951029042,0.9687265999999999,0.001223310181433981,2.012051,0.14645678699705253,2.6418962,0.2207724942801978,0.8147831999999999,0.9630818,2.1702085999999996,0.048523259729742085,2.0108170000000003,2.6637328,0.9682932,0,48,3.00418,0.6496540000000001,0.32024179999999997,7.6537604,8,4,7.0,4.0,0.02178,5
unified_angle_all_cnot,ridge,2.8300688000000003,0.03879505029253084,1.2966554000000001,0.011319789476840949,0.9590248000000001,0.0007057327397818509,2.3655462,0.05311723006426441,4.2136144,0.1719368662338013,0.7798896,0.9496066000000001,2.8287548,0.024440192822480097,2.3535969999999997,4.293775200000001,0.958465,0,0,2.40978,0.6702834,0.6083242,6.4673712,8,4,6.0,4.0,0.020200000000000003,5
unified_angle_all_cnot_rot,ridge,2.8418745999999997,0.03744477352448548,1.2952826,0.010202618159080523,0.9588332000000002,0.0008093001297417278,2.3526524,0.049979622775687384,4.299322999999999,0.15326646941193658,0.7818811999999999,0.9407418,2.8426266,0.038723988841543676,2.346712,4.3697104,0.9582544000000001,0,24,2.777,0.7491842,0.3770526,11.7016176,8,4,8.0,4.0,0.024419999999999997,5
unified_angle_all_cnot_rot_2L,ridge,3.4069844000000002,0.033093598169434316,1.401554,0.00956473549033106,0.9504446,0.00044042967656596373,2.386046,0.11315868543112362,6.4473084,0.3939796375674764,0.7854862,0.9195974,3.391988,0.04896572036128937,2.3645796,6.557411999999999,0.9499732,0,36,3.3732599999999997,0.615802,0.2408742,12.660766800000001,8,4,13.0,4.0,0.02146,5
unified_angle_all_cnot_rot_3L,ridge,3.4987562,0.0896763386947748,1.3895544,0.018562453334621497,0.9490832000000001,0.0010438022801278004,2.3290104,0.07206632333344068,6.9834022000000004,0.3451799175411279,0.7913072,0.9040788,3.4398519999999997,0.06487434374619917,2.3009592000000003,6.9502956,0.9492504,0,48,3.5440199999999997,0.6469962,0.3255966,8.2272046,8,4,18.0,4.0,0.02268,5
unified_angle_all_noc_rot_3L,ridge,2.1622546,0.11541477375665565,1.1496152,0.029563352477349408,0.968843,0.0019740264689208247,2.1053514,0.18997472663567652,2.3303452,0.15303711818607924,0.8089786,0.9679996,2.1677682,0.11088820346051245,2.1068094,2.358929,0.9683303999999999,0,48,3.31216,0.6667942,0.3229352,10.2020058,8,4,5.0,4.0,0.01944,5
unified_angle_circular_cnot_full_rot_3L_3ens,ridge,1.3765014,0.14536192171714016,0.9112805999999999,0.04192171740637542,0.980288,0.0022189532442122386,1.1989706,0.13512970034489086,1.9060986,0.1921959349838077,0.8939581999999999,0.97281,1.3156964,0.1536073194034061,1.192642,1.6951308,0.9809100000000001,0,144,23.21504,0.6247604,0.32638880000000003,50.3797694,94,90,17.0,4.0,0.04738,5
unified_angle_linear_cnot_full_3L,ridge,1.4244708,0.11905867742504113,0.9224672,0.024511026716561666,0.979588,0.0018905470107881772,1.2366942,0.07424964254930798,1.9843186,0.2742134070186942,0.8903176,0.9716913999999999,1.3782454000000002,0.08400551864490799,1.2356828,1.8164804,0.9799876,0,0,10.8649,0.6694058,0.23971179999999997,54.77899179999999,34,30,8.0,4.0,0.028739999999999998,5
unified_angle_linear_noc_Z+ZZ_rot_3L,ridge,1.7917582000000003,0.15326698808354,1.0275136,0.04383311665624524,0.9742492,0.0024339093450660475,1.5713367999999999,0.18792569031188894,2.4488924,0.11489827174200669,0.8627458000000001,0.9653892000000001,1.8078274,0.1859365644831591,1.579627,2.511413,0.9736741999999999,0,48,5.91812,0.5957532000000001,0.38033459999999997,40.596593,14,10,5.0,4.0,0.02288,5
unified_angle_linear_noc_prob_rot_3L,ridge,1.7871446,0.14347837920502168,1.0233948,0.036898474103951764,0.9743206000000001,0.002275440792461975,1.5539432,0.15631243191026103,2.4823184,0.12464943554545288,0.8647038,0.9648704,1.7760482,0.15387023183741547,1.5624342,2.435793,0.9741408,0,48,6.78622,0.5135326,0.5234922,247.46563759999998,20,16,5.0,4.0,0.02352,5
unified_angle_linear_noc_rot_3L_2ens,ridge,1.8967679999999998,0.12143657255332918,1.0857718,0.033534063751654124,0.9727233999999999,0.0020593345527135983,1.8756428,0.18301600795886688,1.9585392,0.08358313592884631,0.8280146,0.9720434000000001,1.8854744,0.11347058304820686,1.8699176000000002,1.9359739999999999,0.9725132000000001,0,96,4.9987,0.5331802,0.4001748,14.3961342,12,8,5.0,4.0,0.0196,5
